Bar,Markup,Address,City,State,Phone #
The Aigburth Arms,8,5818 3rd Avenue,West End,New York,259-324-9716
O'Malley's,6,14067 Dewey Place,Findlay,Idaho,620-386-1122
Torchy's,9,558 Stegman Place,Earlimart,Pennsylvania,860-795-0165
Braidwood Inn,10,7353 Mall Drive W,Clermont,Alabama,194-689-5004
Mos Eisley Cantina,6,9228 Jan De Roos,Kountze,Kansas,498-603-3243
John McRory's Place,7,11926 Winfield Terrace,White Plains,Oregon,210-674-2865
Deville,8,4419 Thompson Avenue,Granite Shoals,New Jersey,394-086-3922
The Hand of Glory,10,13693 South Street,Mount Vernon,Oklahoma,139-823-0856
McAnally's,7,3805 Wheaton Road,Crowell,Texas,858-722-9924
Cafe Rene,6,4856 West Court,Cedar Point,West Virginia,544-568-3614
Windpeak Inn,5,6809 Wolbert Terrace,Galveston,Maine,833-727-5901
Shooters,10,2757 Pebble Beach Drive,Deerfield,Montana,777-126-9370
SaxonwoldShebeen,9,4428 Sterling Place,Bend,Mississippi,341-483-4270
Eden Hall,7,13130 Greenwood Terrace,Donalds,Connecticut,303-929-0224
Salieri's Bar,7,6990 Oxford Avenue,Brenham,Alabama,813-915-8983
The Orange Tree,6,12441 Sun Valley Circle,Branchville,Massachusetts,943-188-5088
Pedro McKinnon,10,13742 Academy Street,Larkspur,Kansas,824-490-1996
The Armada Room,7,3912 Parchment,Dallas,Delaware,148-018-4821
The Pilgrim's Rest,9,8594 Muriel Pkwy,Mexico,Illinois,533-125-7538
The Crazy Cock,5,8276 Castle View,Titusville,Tennessee,284-242-0596
Scarlet Raven Tavern,5,1241 Furlong Circle,Valley,Hawaii,233-873-7117
The Rose & Thorn,8,5612 Hampton Place,Simonton,Georgia,765-572-3830
Mad Dog Saloon,6,12739 Rosehill Place,Shiner,Nebraska,337-617-4980
The Moonrakers,5,13205 Covered Bridge Court,Marathon,Montana,187-155-4447
The Kebab & Calculator,9,4628 George Dieter,Ronkonkoma,Arkansas,259-324-9716
The Shakespeare,7,11688 Standish Street,Cambrian Park,Connecticut,770-959-5601
The Plot and Plaster,10,7485 Mitchell Avenue,Eldridge,Montana,136-453-3734
Old Prospector Saloon,6,11977 S Vermont Avenue,Lower Lake,Ohio,566-936-9992
The Drunken Clam,10,1592 Florence Terrace,Northeast Wharton,Idaho,982-474-1186
Mr. Pubbs,7,1518 Gates Terrace,Pettus,Montana,933-971-3769
The Mucky Duck,8,13214 Knight Court,Fairmont Mills,Iowa,613-894-7311
MacLaren's Pub,6,9591 Barrow Street,Milton,New Jersey,183-817-3495
Rosie's Bar,5,10214 Wooster,Andrews,Montana,845-176-9114
Kennedy's,9,14249 Theresa Place,Baldwin Harbor,Pennsylvania,394-310-7180
The Old Pink Dog,9,8263 Saint Crispin,Indian Springs,Kansas,315-089-5275
The Lamb & Flag,7,12336 Birch Avenue,Maywood,Arizona,829-843-7477
The Brick,5,917 Schaeffer Lane,Corcoran,Wyoming,319-635-5650
Alibi Bar,9,5243 Old Wood Road,Brasher,Iowa,735-061-0363
Y Deri Arms,10,1425 Mina Drive,South Woodbridge,Hawaii,263-368-3671
Duke's Pub,9,13332 Jackson Avenue,Bowling Green,Rhode Island,314-218-5578
Korova Milk Bar,8,2191 Trinity Avenue,Coward,Alaska,589-541-4845
The Feed Bag,10,13487 Hitchcock,Dallas,Rhode Island,931-224-4828
Talon Bar,9,3648 Otter Lane,Trinity Village,Mississippi,829-112-9568
Colonial Taphouse,5,12739 Rosehill Place,Campbell,Kentucky,182-661-8107
The Butchers Arms,7,13431 Anna Street,Fort Motte-Lone Star,California,220-759-0748
Tabard,8,14027 Grams Avenue,North Tonawanda,Montana,727-533-8017
Daddy Crab Leg's Crab Shack,10,11248 Roundtree Court,Gaines,Nevada,707-900-1648
The Malt Shovel,5,12646 Savitt Place,Arial,Kansas,418-616-5733
Paddy's Pub,9,9414 Townley Avenue,Rapids,Florida,112-392-3585
Dugout Inn,6,11688 Standish Street,Beasley,Pennsylvania,742-573-5070
Underworld Tavern,10,9857 Stone Gate,Minot,Nevada,938-877-1580
The Oak and Crosier,7,1231 Oriental Avenue,La Homa,Rhode Island,827-619-2691
World's End Tavern,9,7485 Mitchell Avenue,Miles,Montana,229-162-8611
The Yellow Flag,5,3914 Pendale,Fort Montgomery,West Virginia,536-678-8608
Four Shields Tavern,8,475 Alton Street,Ladson,Texas,982-474-1186
The Buck's Head Inn,9,10749 Wallingford Terrace,Skokie,Pennsylvania,681-458-1416
The Cap & Bell,5,14313 Chapel Avenue,Big Thicket Lake Estates,Missouri,918-805-1589
Kadie's Club Pecos,10,13693 South Street,Laguna Park,Oklahoma,522-319-2439
The Bada Bing,7,9857 Stone Gate,Reid Hope King,North Dakota,481-771-8681
The Hanged Man,8,4224 Bob Gilder,Bristol,South Dakota,679-073-3453
The Woolpack,10,7537 Mueller Court,Marana,Oregon,317-232-0102
Wandin Valley RSL,5,12752 Post Lane,Raisin City,Florida,976-951-5507
The Queen Victoria,6,889 Van Buren Avenue,West Bexar,Arizona,451-097-2288
Fangtasia,5,1425 Mina Drive,Kendleton,New Mexico,615-200-1275
Dead Man's Drink,5,5198 Norton Road,Llagas-Uvas,Indiana,168-947-5661
The Admiral Benbow Inn,9,5198 Norton Road,Peru,California,251-087-5336
The Tall Ship,9,9731 Jockey Hollow Way,Artesia,California,314-806-7740
Rolliver's Inn,10,2259 Lake Spier,East Orosi,Ohio,672-708-7722
Bunnys,8,12739 Rosehill Place,Waterville,Nevada,727-861-0980
P3,8,11926 Winfield Terrace,Cooper,Missouri,260-455-8401
Table Salt,9,12441 Sun Valley Circle,Fort Covington Hamlet,Oklahoma,602-077-7013
Roulette,7,3912 Parchment,Quitaque,Nevada,894-996-1334
Rovers Return Inn,10,14313 Chapel Avenue,Tulare,New Jersey,795-163-7868
Bob's Country Bunker,10,5600 Spinnaker Way,Copiague,Tennessee,684-675-3761
Poor Richard's,8,9228 Jan De Roos,Adamsville,Nebraska,153-000-3455
Rowlf's Tavern,5,11926 Winfield Terrace,Lockwood,North Carolina,457-712-1225
The Duke Of Burgundy,9,4584 Brookside Court,Ellenville,Utah,731-500-8509
The Winking Skeever,8,3117 Burwell Street,Vestal,Colorado,697-494-3767
The Feathers,6,5612 Hampton Place,Valatie,Hawaii,778-752-5643
The Rose & Crown,5,3914 Pendale,McKinney,North Carolina,665-799-8571
The Old Haunt,7,7892 Bob Gilder,Boyd,Nebraska,581-715-7016
Charlie's,8,2094 McWilliams Place,Grimes,Oregon,172-472-3706
The Spotted Dog,9,5424 Hazeltime,Kosse,Vermont,598-481-6702
Candlehearth Hall,7,13069 Oxford Lane,Saranac,Kansas,330-615-2030
Vardi's,6,6488 Alexander D Sullivan Drive,Silver Creek,Connecticut,717-210-2675
Dagmar,10,3055 Louisa Street,San Bruno,New Mexico,468-366-1227
Essence,5,5829 Saint Lucia,North San Juan,Utah,785-167-6896
The Iron Horse,7,2757 Pebble Beach Drive,Villa Pancho,Hawaii,188-461-8324
Sandbox,7,2588 S Aberdeen Place,La Habra,Vermont,242-350-6325
The Ivy Bush,9,14027 Grams Avenue,Northwest Harbor,North Carolina,714-570-2343
Salty Sailor Tavern,9,12739 Rosehill Place,Lime Lake,Mississippi,331-580-1909
Fortune Casino,7,5334 Country Lane,Wheatley Heights,South Carolina,952-801-2291
The Drowned Trout,10,1458 Berry Drive,Hemlock,Arizona,509-879-0375
"The Hand & Racquet, East Cheam",10,10442 Mading Terrace,Pittsfield,South Carolina,594-701-7437
Playaz Club,9,9414 Townley Avenue,Bayville,Washington,362-937-1335
The Last Chance Saloon,5,1425 Mina Drive,Dustin Acres,North Carolina,803-422-2840
The Earl Of Osbourne,8,11035 Bretwood Drive,Rancho Tehama Reserve,Maryland,236-577-1911
LUX,7,5091 Heckman Drive,Commerce City,Nebraska,897-252-1665
Jack's Crocodile Bar,9,4923 Garibay,Mountain Lodge Park,California,952-688-4120
The Prancing Pony,6,8408 Mirage,Castroville,Nebraska,670-561-9853
Poison,10,11143 Ford Avenue,Marysville,Arizona,237-548-5825
The Brass Lantern,10,7485 Mitchell Avenue,Carthage,Pennsylvania,886-143-6775
Cocktails and Dreams,5,2922 Esmond Place,Plainview,Utah,781-259-5133
Rick's Café Américain,8,4543 Oak Street,Galveston,Kentucky,829-633-1062
The Bronze,6,5818 3rd Avenue,Como,Pennsylvania,495-092-8745
The Lion and Unicorn,7,2757 Pebble Beach Drive,Washington Heights,West Virginia,532-221-2026
Wonder Bar,7,12818 Wild Ridge,Converse,Alabama,579-076-7421
Puzzles,10,475 Alton Street,Lakehills,Washington,921-217-8173
The Cat & Fiddle,5,15010 Bennington Drive,Newton,Maryland,465-958-0633
Snakehole Lounge,6,4856 West Court,Georgetown,Massachusetts,236-802-5425
The Place,7,5424 Hazeltime,Furman,Tennessee,655-611-8434
Jack Rabbit Slim's,8,2191 Trinity Avenue,Lancaster,Ohio,732-266-1978
The Bull,7,14313 Chapel Avenue,Lumberton,Wyoming,946-447-7397
Electric Psychedelic Pussycat Swingers Club,7,5198 Norton Road,Hagaman,Missouri,231-432-6383
The King and Queen Tavern,7,1591 Daisy Drive,Chatham,Louisiana,820-928-9891
The Aidensfield Arms,10,13205 Covered Bridge Court,Donner,Mississippi,661-179-2209
Milliway's,6,4059 Rosemarie Drive,Canyon,Wyoming,239-143-4015
Wurstbraterei,5,7537 Mueller Court,Minneapolis,Ohio,468-362-4918
Trees Lounge,9,12785 Harding Terrace,Clute,Virginia,404-356-2404
Kelcy's,6,8408 Mirage,Petersburg,Minnesota,211-299-9063
Elfsong Tavern,9,3951 Charles Road,Central Square,Michigan,527-254-4729
The Tropicana,9,14040 Meadow Street,Santa Fe,Missouri,975-466-7446
The Kit Kat Klub,5,10442 Mading Terrace,Redwood City,Oklahoma,854-281-0670
Quark's,7,1241 Furlong Circle,Hollywood Park,Idaho,999-429-7969
Boobies,10,3869 Linda Lane,Solon,West Virginia,724-522-1653
Seagrass,8,1410 Fieldbrook Drive,Pharr,Nebraska,639-706-9412
Samoan Joe's,7,3951 Charles Road,Long Beach,Indiana,182-661-8107
The Snug,6,8645 Downing Lane,Landsford,Colorado,188-891-0854
The Learned Goat,8,6633 Orchard Terrace,Methuen,Colorado,206-758-7943
The Maidenhead,10,2966 Unami Lane,Oyster Creek,Louisiana,539-803-5308
Gus's Galaxy Grill,6,13130 Greenwood Terrace,Fields Landing,California,943-027-4728
Louie's,6,737 Nasa,Akron,Delaware,654-500-3443
The Peach Pit,9,15475 Wright Avenue,Mount Pleasant,Oregon,163-368-3953
The Frozen Hearth,9,1458 Berry Drive,Riverview,Florida,153-175-4483
Cooper's,7,1591 Daisy Drive,Olney,Oklahoma,962-327-6642
The Eolian,6,12788 Newkirk Street,Lake Ronkonkoma,Arizona,478-436-0857
Mancini's Family Restaurant,7,475 Alton Street,Willis,South Dakota,641-167-3119
Cockatoo Inn,9,6809 Wolbert Terrace,Bonadelle Ranchos-Madera Ranchos,Ohio,478-804-6270
The Elephant,9,5091 Heckman Drive,Inglewood,Oklahoma,897-755-9891
Callahan's Place,9,161 Lidgerwood Avenue,Van Etten,Maine,491-620-8267
Porky's,7,8594 Muriel Pkwy,Alabama,Wisconsin,658-676-3494
Founding Fathers,6,4125 Jorene Avenue,Dubuque,New Hampshire,436-843-2374
Dal Riata,9,13613 Sea Pine Drive,Little Falls,Washington,574-689-7037
Milk Club,6,15263 Quigley Avenue,Cesar Chavez,Wisconsin,307-169-7011
The Thorax Bar,6,9306 Mulberry Street,San Juan,Delaware,104-413-5442
The Bloated Float Inn,9,9228 Jan De Roos,Wilton,Florida,958-449-9790
Gallow's End Tavern,5,4338 Gateway,Chesterfield,Minnesota,394-086-3922
Romanoff's,8,810 Edgewood Road,Ballston Spa,North Carolina,472-151-2820
The Silver Dollar Saloon,10,13505 Cabot Avenue,Radar Base,New Hampshire,682-862-9927
The Pool Hall,6,3912 Parchment,Islip Terrace,Iowa,194-717-9726
Central Perk,7,1410 Fieldbrook Drive,Three Rivers,California,634-843-3480
The Crab Shed,7,4419 Thompson Avenue,Maud,Vermont,327-947-7403
Lucky Lockup,5,12465 Allwood Road,Murrieta,New York,362-747-2290
Friendsy's,6,5139 Gregory Jarvis,Falconer,Kentucky,962-818-5722
The Broken Stool,10,8607 Sayles Road,Campo,Kentucky,735-485-7424
Broome's,7,475 Alton Street,Soledad,Kansas,694-914-4248
The Rusty Anchor,8,4923 Garibay,Selma,Nebraska,721-401-6041
The Winchester Tavern,5,1458 Berry Drive,Rangerville,New Hampshire,465-068-2871
The Last Resort,9,11471 Millstone Court,Lincolnville,Hawaii,320-966-2686
Border Watch Inn,10,11812 Firefly,Overland Park,Montana,118-366-0437
Frostfruit Inn,7,9330 Bernard Avenue,Coulterville,California,183-284-3744
The Count's Arms,8,475 Alton Street,Retsof,Idaho,762-516-1541
The Bamboo Lounge,7,13693 South Street,Palomar-Julian,Vermont,540-300-2741
O'Malley's Bar,10,11954 Adella Avenue,Erie,Georgia,268-701-0018
The Pig and Whistle,7,1839 George Dieter,University of California Davis,Arizona,979-870-9444
The Pie Hole,8,15446 N Massachusetts Avenue,La Sara,Nevada,537-758-1683
Maccadam's Old Oil House,8,4338 Gateway,Decatur,Florida,663-460-9757
The Ballroom,8,5424 Hazeltime,Heath,Ohio,473-239-2939
Cohan's,5,13487 Hitchcock,Ilion,Maryland,323-557-0221
The Moon Under Water,6,4584 Brookside Court,Lansing,Maine,463-149-7934
The Grind & Jolt Cafe,6,83 Samuel Drive,Laredo,Ohio,642-842-6221
﻿Ace of Clubs,5,8645 Downing Lane,Manhasset Hills,Alabama,916-985-5381
Copa,10,5243 Old Wood Road,Freer,Iowa,420-928-5879
The Oblivion Bar,6,14249 Theresa Place,Winona,Montana,458-742-2521
Dexter Lake Club,8,15394 Dakota Avenue,Ridgeland,New York,899-345-3970
Kavanagh's Irish Pub,6,5198 Norton Road,Bowie,West Virginia,598-259-8953
Broken Keel Tavern,6,5829 Saint Lucia,Stockholm,Washington,956-703-9383
Low Point,6,13431 Anna Street,Hidalgo,Mississippi,251-804-8267
The Broken Drum/The Mended Drum,5,12752 Post Lane,Garden Grove,Washington,377-123-2883
Crab Shack,10,5317 Malanga Court,Meridian,Virginia,317-757-8497
Joe's,7,13130 Greenwood Terrace,Arbuckle,Alaska,891-953-9054
Tavern of Time,8,5424 Hazeltime,Lucas,Maryland,227-226-9832
Silver,8,2922 Esmond Place,West Union,Georgia,119-009-7684
Maxwell's Nightclub,10,8408 Mirage,San Benito,Oklahoma,156-820-1249
Brady Pub,7,12646 Savitt Place,Darlington,Minnesota,872-479-9156
Free the Paedos,6,13214 Knight Court,Mannsville,Wyoming,562-534-2796
Dino's Bar and Grill,7,6990 Oxford Avenue,Freedom,Colorado,125-502-1929
Copacabana,5,4651 Truman Avenue,Uniondale,Idaho,979-352-6160
Levy's,10,8594 Muriel Pkwy,Temple City,Oklahoma,820-970-0328
Night Spot,6,10245 Crystal Gate,Bethel,Georgia,563-219-7595
Grilby's,9,2140 Bonnie Drive,East Marion,Nebraska,152-405-1801
Corrado Italian Bistro,10,7485 Mitchell Avenue,Fargo-Odell,Wisconsin,921-957-1418
De Rossi's Wine Bar,9,1241 Furlong Circle,Commerce City,Wisconsin,600-440-5194
The Sole Regret,5,4721 Carteret Avenue,Meridian,North Carolina,978-451-6032
The Railway Arms,5,9709 Harvest Court,Tillson,Delaware,479-792-9526
The Silent Woman,5,1839 George Dieter,Yoakum,Illinois,509-886-3006
The Leaky Cauldron,7,1227 Avenue C,Chappells,Mississippi,670-494-1137
Palace Saloon,8,15447 Edison Terrace,Tehama,South Carolina,105-236-2205
The Drunken Huntsman,5,9254 Traveller Way,Beverly Hills,Connecticut,953-880-5355
The Winchester Club,8,11226 Putnam Road,Longview,Texas,134-156-2558
Mama Chow's Fine Dining,7,15475 Wright Avenue,Lansing,Delaware,165-862-3697
The Bannered Mare,7,11926 Winfield Terrace,China Lake Acres,Connecticut,319-194-6988
St. Elmo's Bar,9,1227 Avenue C,Peach Lake,New Mexico,920-340-9442
Bodarks Bus Stop Restaurant,5,9414 Townley Avenue,Staatsburg,Missouri,504-838-9988
The Plumbers Arms,5,15444 Chetwood Street,Gainesville,Washington,324-324-9944
The Boom Boom Room,6,4543 Oak Street,Interlaken,Georgia,287-609-5599
Lusty Leopard,7,14249 Theresa Place,Tustin,Idaho,930-886-3466
The Globe and Anchor,6,15446 London Court,Kingsville,Minnesota,681-180-8985
Noah's Bar,10,5709 Boudinot Place,Chandler,Vermont,218-410-2765
